file,id,jp,zh_deepseek
outputs\tda_fpd_extract\tda01\root\assets\data_spec\adv\game\scr\localized\010_序章_響の悪夢01.egpack,game_t00000,「イーグル６ッ！　中尉、\w下がってください――！」,「鹰6！中尉，请退后——！」
outputs\tda_fpd_extract\tda01\root\assets\data_spec\adv\game\scr\localized\010_序章_響の悪夢01.egpack,game_t00001,「イーグル３ッ！　イーグル３――ッ！」,「鹰3！鹰3——！」
outputs\tda_fpd_extract\tda01\root\assets\data_spec\adv\game\scr\localized\010_序章_響の悪夢01.egpack,game_t00002,「駄目です！　電子欺瞞、\w間に合いませんッ！」,「不行！电子欺骗来不及了！」
outputs\tda_fpd_extract\tda01\root\assets\data_spec\adv\game\scr\localized\010_序章_響の悪夢01.egpack,game_t00003,「畜生――ッ！　はめられたッ！　乱数回避ッ！　誘導弾、\w来るぞッ――！」,「可恶——！中计了！随机回避！诱导弹要来了——！」
outputs\tda_fpd_extract\tda01\root\assets\data_spec\adv\game\scr\localized\010_序章_響の悪夢01.egpack,game_t00004,「ひっ…\w…\w！　きゃあぁぁぁッ――！」,「呀……！啊啊啊啊——！」
outputs\tda_fpd_extract\tda01\root\assets\data_spec\adv\game\scr\localized\010_序章_響の悪夢01.egpack,game_t00005,「…\w…\w外骨格が動かなくなる前に車輌を確保する。日中は身を隠し、\w移動は夜間のみ行う。――２０日もあれば味方の勢力圏に到達できる…\w…\w」,「……在外骨骼动不了之前搞到车辆。白天藏身，只在夜间移动。……20天就能到达友军势力圈……」
outputs\tda_fpd_extract\tda01\root\assets\data_spec\adv\game\scr\localized\010_序章_響の悪夢01.egpack,game_t00006,「塩嵐が酷い。フィルターの確認は怠るな。水分は定期的に取れ、\wでないと干上がるぞ」,「盐暴很厉害。别疏忽过滤器的检查。要定时补充水分，不然会脱水的。」
outputs\tda_fpd_extract\tda01\root\assets\data_spec\adv\game\scr\localized\010_序章_響の悪夢01.egpack,game_t00007,「さぁ皆、\w立つんだ。塩原を抜けるまでが勝負だ…\w…\w」,「好了各位，站起来。穿过盐原之前都是关键……」
outputs\tda_fpd_extract\tda01\root\assets\data_spec\adv\game\scr\localized\010_序章_響の悪夢01.egpack,game_t00008,「いきましょう、\w中尉…\w…\w」,「走吧，中尉……」
outputs\tda_fpd_extract\tda01\root\assets\data_spec\adv\game\scr\localized\010_序章_響の悪夢01.egpack,game_t00009,「…\w…\w…\w…\wこいつら…\w…\w狂ってやがる…\w…\w」,「…………这帮家伙……都疯了……」
outputs\tda_fpd_extract\tda01\root\assets\data_spec\adv\game\scr\localized\010_序章_響の悪夢01.egpack,game_t00010,「これも…\w…\w人間の業だ…\w…\w」,「这也是……人类的业障……」
outputs\tda_fpd_extract\tda01\root\assets\data_spec\adv\game\scr\localized\010_序章_響の悪夢01.egpack,game_t00011,「狂ってるんだよ、\wアンタも私もこいつらも――！　畜生…\w…\wッ！　死んじまえ――！」,「都疯了，你、我、还有这帮家伙——！畜生……！去死吧——！」
outputs\tda_fpd_extract\tda01\root\assets\data_spec\adv\game\scr\localized\010_序章_響の悪夢01.egpack,game_t00012,「浅葱…\w…\w。これも…\w…\w\n生き延びるための…\w…\w現実だ…\w…\w」,「浅葱……这也是……为了活下去的……现实……」
outputs\tda_fpd_extract\tda01\root\assets\data_spec\adv\game\scr\localized\010_序章_響の悪夢01.egpack,game_t00013,「はは…\w…\wっ、\wはははっは…\w…\wあはははッ…\w…\w」,「哈哈……、哈哈哈……啊哈哈哈……」
outputs\tda_fpd_extract\tda01\root\assets\data_spec\adv\game\scr\localized\010_序章_響の悪夢01.egpack,game_t00014,「…\w…\wどうしたんだい、\w千堂」,「……怎么了，千堂」
outputs\tda_fpd_extract\tda01\root\assets\data_spec\adv\game\scr\localized\010_序章_響の悪夢01.egpack,game_t00015,「…\w…\wその…\w…\wあの、\w隊長が…\w…\w」,「……那个……队长他……」
outputs\tda_fpd_extract\tda01\root\assets\data_spec\adv\game\scr\localized\010_序章_響の悪夢01.egpack,game_t00016,「そんな…\w…\wそんなのって…\w…\w。なんでアンタが真っ先に脱落しちまうのさ…\w…\w」,「怎么会……怎么可以这样……为什么偏偏是你最先撑不住啊……」
