file,id,jp,zh_deepseek
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,game_t00000,「どうだ…\w…\w？　例のものは――」,「情况如何……？那个东西呢——」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,game_t00001,「――は。現在、\wまだ見つかっておりません…\w…\w」,「——是。目前还未找到……」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,game_t00002,「こちら３班。――ウェストウイングにて大統領夫人の遺体を発見」,「这里是3班。在西翼发现了总统夫人的遗体」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,game_t00003,「間違いないのか？」,「确定吗？」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,game_t00004,「事前に採取していたＤＮＡデータと一致しています」,「与事先采集的DNA数据一致」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,game_t00005,「…\w…\w良いニュースだ。捜索を継続してくれ」,「……好消息。继续搜索」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,game_t00006,「――は！」,「——是！」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,game_t00007,「混乱していたのは間違いない、\wか…\w…\w」,「看来确实一片混乱啊……」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,game_t00008,「絶対に見つけろ。それが祖国に忠誠を示すことになる」,「一定要找到。那是对祖国效忠的表现」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,game_t00009,「――了解」,「——明白」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,game_t00010,「この地を制圧するのは至難の業かもしれない…\w…\wが、あれを手に入れた者が、\wこの世界を制す者となる…\w…\w」,「要压制这片土地也许难如登天……但得到那个东西的人，将成为统治这个世界的人……」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,game_t00011,「…\w…\wまだ話すつもりにはなれないのかね？」,「……还是不想开口吗？」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,game_t00012,「…\w…\w…\w…\w」,「嗯……」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,game_t00013,「Ｓ－１１の不法所持…\w…\w。それだけでも重罪だということは理解しているのだろうね？」,「非法持有S-11……你应该明白仅凭这一点就是重罪吧？」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,game_t00014,「…\w…\w…\w…\w」,「嗯……」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,game_t00015,「軍の管理体制までもが疑われているのだ。貴官のお陰で米国からの査察圧力は一段と強まった」,「连军队的管理体制都受到了怀疑。拜你所赐，美国方面的核查压力更大了」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,game_t00016,「日米同盟に関する協定違反のみならず、数々の越権行為など貴官には聞かねばならないことが多すぎるのだよ」,「不仅违反了日美同盟相关协定，还有多次越权行为……要问你的话实在太多了」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,game_t00017,「…\w…\w…\w…\w」,「嗯……」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,game_t00018,「まったく…\w…\w。頑固者だな、\w貴官は――」,「真是的……你这个人还真是顽固啊——」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,game_t00019,「…\w…\wいかなる処分にも従います」,「……我愿意接受任何处分」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,game_t00020,「処分に従うから返答しない…\w…\wそれが許されるわけではないのは重々承知しているだろう？」,「因为愿意接受处分就不回答？你应该很清楚这是不被允许的吧？」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,game_t00021,「…\w…\w…\w…\w」,「嗯……」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,game_t00022,「簡単に解放されると思わなんでくれるかね？」,「别以为我会轻易放过你」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,game_t00023,「…\w…\w…\w…\w」,「嗯……」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,game_t00024,「貴官の処分については米国からも注視されている。帝国内だけで解決できる話ではない…\w…\w」,「对你的处分美国也在密切关注。这并非帝国国内就能解决的问题……」
outputs\tda_fpd_extract\tda02\root\assets\data_spec\adv\game\scr\localized\010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,game_t00025,「…\w…\w…\w…\w」,「嗯……」
